"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"1120098712045","1120098712045_204404","2","204404","Uvira","-3.4","29.13333","ADM3","third-order administrative division","6295630|6255146|CD|12|8260566|204404","Earth|Africa|Congo|South Kivu|South Kivu|Uvira","1","1"
"1120098715147","1120098715147_2317395","2","2317395","Bandundu","-3.31667","17.36667","ADM3","third-order administrative division","6295630|6255146|CD|01|2313847|2317395","Earth|Africa|DR Congo|Bandundu Province|Kwilu District|Bandundu","1","1"
"1120098715147","1120098715147_2316258","2","2316258","Bulungu","-4.55","18.6","ADM3","third-order administrative division","6295630|6255146|CD|01|2313847|2316258","Earth|Africa|DR Congo|Bandundu Province|Kwilu District|Bulungu","1","1"
"1120098715147","1120098715147_2315639","2","2315639","Gungu","-5.73333","19.31667","ADM3","third-order administrative division","6295630|6255146|CD|01|2313847|2315639","Earth|Africa|DR Congo|Bandundu Province|Kwilu District|Gungu","1","1"
"1120098715147","1120098715147_8260569","2","8260569","Idiofa","-4.66479","19.53953","ADM3","third-order administrative division","6295630|6255146|CD|01|2313847|8260569","Earth|Africa|DR Congo|Bandundu Province|Kwilu District|Idiofa","1","1"
"1120098715147","1120098715147_2314934","2","2314934","Kenge","-4.86667","16.98333","ADM3","third-order administrative division","6295630|6255146|CD|01|2313860|2314934","Earth|Africa|DR Congo|Bandundu Province|Kwango District|Kenge","1","1"
"1120098715147","1120098715147_7731965","2","7731965","Kinshasa","-4.47223","15.8836","ADM3","third-order administrative division","6295630|6255146|CD|06|8260567|7731965","Earth|Africa|DR Congo|Kinshasa City|Kinshasa rural|Kinshasa","1","1"
"1120098715147","1120098715147_2313364","2","2313364","Lukula","-5.38333","12.95","ADM3","third-order administrative division","6295630|6255146|CD|08|7731975|2313364","Earth|Africa|DR Congo|Province du Bas-Congo|Bas Fleuve District|Lukula","1","1"
"1120098715147","1120098715147_2313217","2","2313217","Madimba","-4.98333","15.15","ADM3","third-order administrative division","6295630|6255146|CD|08|7731969|2313217","Earth|Africa|DR Congo|Province du Bas-Congo|Lukaya|Madimba","1","1"
"1120098715147","1120098715147_2313010","2","2313010","Masi-Manimba","-4.76667","17.91667","ADM3","third-order administrative division","6295630|6255146|CD|01|2313847|2313010","Earth|Africa|Congo|Bandundu Province|Kwilu District|Masi-Manimba","1","1"
"1120098715147","1120098715147_2313001","2","2313001","Matadi","-5.81667","13.45","ADM3","third-order administrative division","6295630|6255146|CD|08|7731975|2313001","Earth|Africa|DR Congo|Province du Bas-Congo|Bas Fleuve District|Matadi","1","1"
